TIMESTAMP,acc_score,recall,f_beta,f_score,tn,fp,fn,tp,test_num
2020_07_07_10_44_42,0.9242424242424242,0.9823008849557522,0.5,0.9422750424448217,11,8,2,111,132
2020_07_07_10_45_26,0.9318181818181818,1.0,0.5,0.940099833610649,10,9,0,113,132
